scenario,expiry,tenor,moneyness_basis_points,strike,qf_rates,quantlib,absolute_difference,difference_basis_points_notional,relative_difference
fast_mean_reversion,5.0,5.0,0.0,0.025315120524428875,0.008740998056512366,0.008775825288315022,3.482723180265636e-05,0.34827231802656355,0.00396854206396163
fast_mean_reversion,5.0,5.0,100.0,0.035315120524428874,0.0002765062108783402,0.0002831789356805481,6.672724802207883e-06,0.06672724802207883,0.02356363401879344
fast_mean_reversion,5.0,10.0,-100.0,0.015315120524428889,0.07712443860608474,0.07712399934572116,4.3926036358277187e-07,0.004392603635827719,5.695508107842206e-06
fast_mean_reversion,5.0,10.0,0.0,0.02531512052442889,0.01070835206846805,0.010750207214842053,4.185514637400356e-05,0.4185514637400356,0.0038934269393632813
fast_mean_reversion,5.0,10.0,100.0,0.03531512052442889,2.073467848904178e-05,2.1079070572366984e-05,3.443920833252037e-07,0.003443920833252037,0.01633810571215008
weak_correlation,1.0,2.0,-100.0,0.01531512052442881,0.021681737624347792,0.021690516060495973,8.778436148181024e-06,0.08778436148181024,0.00040471310704169095
weak_correlation,1.0,2.0,0.0,0.02531512052442881,0.009514289275638266,0.009527778624127334,1.3489348489067673e-05,0.13489348489067673,0.0014157915523885492
weak_correlation,1.0,2.0,100.0,0.03531512052442881,0.0029812240078631613,0.002976206058910098,5.01794895306322e-06,0.0501794895306322,0.0016860220205656118
weak_correlation,1.0,5.0,-100.0,0.015315120524428837,0.04888906006897874,0.048835632444395656,5.342762458308142e-05,0.5342762458308142,0.0010940295417268162
weak_correlation,1.0,5.0,0.0,0.025315120524428837,0.017715616475781674,0.017867477633008805,0.00015186115722713028,1.5186115722713027,0.008499305853142828
weak_correlation,1.0,5.0,100.0,0.03531512052442884,0.0037097181032787834,0.003745936579223821,3.6218475945037475e-05,0.36218475945037476,0.009668737091256934
weak_correlation,1.0,10.0,-100.0,0.015315120524428854,0.08753242827554658,0.08755014515308104,1.7716877534462716e-05,0.17716877534462716,0.00020236262890809415
weak_correlation,1.0,10.0,0.0,0.025315120524428854,0.02485470484632478,0.024952262975937327,9.755812961254745e-05,0.9755812961254745,0.003909790855708257
weak_correlation,1.0,10.0,100.0,0.03531512052442885,0.002621078861246438,0.002653554654580791,3.2475793334352764e-05,0.32475793334352765,0.012238599750824915
weak_correlation,2.0,2.0,-100.0,0.015315120524428924,0.023279304021377206,0.023266186777251834,1.3117244125372685e-05,0.13117244125372685,0.0005637900293226337
weak_correlation,2.0,2.0,0.0,0.025315120524428924,0.011962853690243837,0.011995383057136532,3.2529366892694936e-05,0.32529366892694933,0.0027118239357385022
weak_correlation,2.0,2.0,100.0,0.03531512052442892,0.005029144713562397,0.005047416734720433,1.8272021158035993e-05,0.18272021158035995,0.0036200738156501847
weak_correlation,2.0,5.0,-100.0,0.015315120524428882,0.051073714139198804,0.05116124310854419,8.752896934538512e-05,0.8752896934538512,0.0017108452419672996
weak_correlation,2.0,5.0,0.0,0.025315120524428882,0.022581518633386886,0.022717769322324083,0.00013625068893719644,1.3625068893719643,0.005997538182734644
weak_correlation,2.0,5.0,100.0,0.03531512052442888,0.007394159873567318,0.00728667413552819,0.00010748573803912812,1.0748573803912813,0.014751001079498224
weak_correlation,2.0,10.0,-100.0,0.015315120524428882,0.08910355092889244,0.08908138004070444,2.2170888187997284e-05,0.22170888187997284,0.00024888352849794894
weak_correlation,2.0,10.0,0.0,0.025315120524428882,0.03198661889222059,0.03204826621193081,6.164731971022158e-05,0.6164731971022158,0.0019235773724093613
weak_correlation,2.0,10.0,100.0,0.03531512052442888,0.006544185583140108,0.0065645956429421426,2.0410059802034204e-05,0.20410059802034203,0.0031091114993469352
weak_correlation,5.0,2.0,-100.0,0.015315120524428917,0.02424862054936642,0.024236768951300294,1.1851598066124625e-05,0.11851598066124625,0.0004889924927674318
weak_correlation,5.0,2.0,0.0,0.025315120524428917,0.014223320438521795,0.014215475262126485,7.845176395309197e-06,0.07845176395309197,0.0005518757727510295
weak_correlation,5.0,2.0,100.0,0.035315120524428915,0.0073700366365804576,0.007370272626407277,2.3598982681980601e-07,0.00235989826819806,3.20191448514764e-05
weak_correlation,5.0,5.0,-100.0,0.015315120524428875,0.05253436432032328,0.0524973348460807,3.7029474242583627e-05,0.37029474242583627,0.0007053591263471186
weak_correlation,5.0,5.0,0.0,0.025315120524428875,0.027493729090596095,0.027478303438597387,1.5425651998707962e-05,0.15425651998707962,0.0005613757062250185
weak_correlation,5.0,5.0,100.0,0.035315120524428874,0.011949320498555535,0.011901074574898531,4.824592365700389e-05,0.4824592365700389,0.004053913228874564
weak_correlation,5.0,10.0,-100.0,0.015315120524428889,0.08891935087833079,0.08904644299328525,0.00012709211495445794,1.2709211495445794,0.001427256504384365
weak_correlation,5.0,10.0,0.0,0.02531512052442889,0.039553413146005384,0.03953181974446775,2.159340153763678e-05,0.2159340153763678,0.0005462283719094073
weak_correlation,5.0,10.0,100.0,0.03531512052442889,0.012884283879339296,0.012819193202937961,6.509067640133454e-05,0.6509067640133454,0.0050775953970657655
